epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2505,1.8787,7.45284,0.84288,6e-05,0.01595,3e-05,1e-05,1.62097,4.90934,0.80211,0.000468394,0.000468394,0.000468394
2,26.7929,1.53876,4.54094,0.8098,1,0.09391,0.89277,0.39598,1.73049,2.98383,0.81361,0.000935375,0.000935375,0.000935375
3,36.197,1.49177,3.39743,0.81686,0.98639,0.99534,0.9937,0.56479,1.41146,0.77066,0.79474,0.00139292,0.00139292,0.00139292
4,45.4902,1.4405,2.5619,0.81044,0.95724,0.98796,0.99081,0.63561,1.2248,0.56223,0.78274,0.00138656,0.00138656,0.00138656
5,54.9095,1.39818,1.88738,0.80245,0.99547,0.98279,0.995,0.66069,1.13316,0.54531,0.77865,0.00137241,0.00137241,0.00137241
6,64.2711,1.35135,1.48422,0.80295,0.98438,0.9983,0.995,0.59614,1.34423,0.56761,0.78964,0.00135826,0.00135826,0.00135826
7,73.4571,1.24046,1.18903,0.79835,0.99673,0.99605,0.995,0.67523,1.08868,0.45609,0.78122,0.00134412,0.00134412,0.00134412
8,82.9069,1.25014,1.03274,0.80225,0.98675,1,0.995,0.74165,1.00463,0.47249,0.77578,0.00132997,0.00132997,0.00132997
9,92.3581,1.20342,0.8877,0.80237,0.98845,0.98188,0.99447,0.74234,0.96931,0.43179,0.77696,0.00131582,0.00131582,0.00131582
10,101.662,1.15084,0.81776,0.79877,0.99148,0.99949,0.995,0.72436,0.99471,0.46113,0.77861,0.00130168,0.00130168,0.00130168
11,110.857,1.18901,0.73237,0.80745,0.98275,0.99719,0.995,0.66025,1.13904,0.49589,0.77991,0.00128753,0.00128753,0.00128753
12,120.054,1.15802,0.66832,0.78913,0.99461,0.98091,0.9941,0.74291,0.95445,0.43153,0.77431,0.00127338,0.00127338,0.00127338
13,129.367,1.10727,0.6228,0.79602,0.96114,0.96778,0.99338,0.7383,0.94107,0.44796,0.77393,0.00125923,0.00125923,0.00125923
14,138.56,1.14604,0.61031,0.79523,0.99602,1,0.995,0.74942,0.9505,0.42043,0.77422,0.00124509,0.00124509,0.00124509
15,148.006,1.06119,0.56311,0.79352,0.98916,0.98095,0.99388,0.78161,0.82666,0.3644,0.7683,0.00123094,0.00123094,0.00123094
16,157.36,1.02686,0.55335,0.79097,0.99101,0.9989,0.995,0.78634,0.85367,0.39576,0.76887,0.00121679,0.00121679,0.00121679
17,166.673,1.00452,0.52458,0.79094,0.96592,0.99303,0.995,0.77403,0.85475,0.42303,0.76944,0.00120265,0.00120265,0.00120265
18,176.006,1.04253,0.5306,0.78715,0.99209,0.98894,0.99432,0.79243,0.7866,0.36387,0.76751,0.0011885,0.0011885,0.0011885
19,185.425,0.94635,0.48927,0.78594,0.99006,0.97742,0.99311,0.76696,0.83905,0.40097,0.77096,0.00117435,0.00117435,0.00117435
20,194.679,0.98287,0.48676,0.79614,0.99299,0.99048,0.99447,0.77401,0.81905,0.37127,0.76653,0.00116021,0.00116021,0.00116021
21,203.895,1.00999,0.49512,0.78402,0.96614,0.98999,0.99276,0.73981,0.91099,0.40322,0.76994,0.00114606,0.00114606,0.00114606
22,213.075,0.99756,0.50386,0.79124,0.98037,0.98863,0.99378,0.75355,0.94674,0.42637,0.77161,0.00113191,0.00113191,0.00113191
23,222.339,0.9646,0.46087,0.79481,0.98903,0.99048,0.99464,0.77668,0.85711,0.35777,0.76942,0.00111776,0.00111776,0.00111776
