epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2834,2.1768,7.64328,0.89263,0,0,0,0,2.0441,4.79036,0.86866,0.000469808,0.000469808,0.000469808
2,40.0189,1.97263,5.08779,0.87722,0.63435,0.65235,0.58361,0.2292,2.10439,2.74273,0.90846,0.000936775,0.000936775,0.000936775
3,51.9999,1.92887,3.53177,0.87126,0.56181,0.68861,0.58015,0.24274,1.95923,1.35408,0.8773,0.00139431,0.00139431,0.00139431
4,63.5827,1.77734,2.49444,0.85951,0.6837,0.74026,0.68862,0.32405,1.83591,1.20775,0.87684,0.00138656,0.00138656,0.00138656
5,75.2479,1.82323,2.00699,0.85775,0.59035,0.68304,0.60712,0.29224,1.87176,1.35074,0.88342,0.00137241,0.00137241,0.00137241
6,86.8425,1.74148,1.53239,0.85274,0.53598,0.73216,0.58483,0.29338,1.81314,1.3884,0.86967,0.00135826,0.00135826,0.00135826
7,98.4251,1.66885,1.29684,0.85806,0.62699,0.68013,0.6546,0.32587,1.71888,1.25852,0.87345,0.00134412,0.00134412,0.00134412
8,110.231,1.70732,1.27134,0.86329,0.76576,0.77151,0.78329,0.34644,1.79375,1.15843,0.87271,0.00132997,0.00132997,0.00132997
9,226.621,1.68796,1.12574,0.84486,0.56217,0.75973,0.66098,0.35661,1.66144,1.16467,0.8647,0.00131582,0.00131582,0.00131582
10,325.792,1.59727,1.03575,0.85116,0.58694,0.63982,0.62406,0.33271,1.65457,1.26663,0.86005,0.00130168,0.00130168,0.00130168
11,342.252,1.54528,0.96312,0.84561,0.56515,0.7546,0.6598,0.34296,1.6784,1.18931,0.86295,0.00128753,0.00128753,0.00128753
12,353.6,1.56851,0.94532,0.84971,0.54774,0.79176,0.61268,0.34225,1.60929,1.16989,0.85564,0.00127338,0.00127338,0.00127338
13,365.14,1.55115,0.91207,0.85031,0.66085,0.70248,0.69602,0.36988,1.55636,1.10683,0.84856,0.00125923,0.00125923,0.00125923
14,376.643,1.57037,0.9125,0.83767,0.64175,0.70765,0.66182,0.34851,1.64208,1.18659,0.86672,0.00124509,0.00124509,0.00124509
15,388.067,1.56435,0.93396,0.83648,0.57879,0.66626,0.6282,0.35329,1.51818,1.14256,0.84525,0.00123094,0.00123094,0.00123094
16,399.437,1.53849,0.90529,0.84161,0.66435,0.65477,0.66825,0.34676,1.56396,1.12221,0.8485,0.00121679,0.00121679,0.00121679
17,410.99,1.50798,0.86962,0.83855,0.61151,0.77055,0.66902,0.35249,1.57171,1.13723,0.85069,0.00120265,0.00120265,0.00120265
18,422.398,1.44999,0.82364,0.82191,0.59474,0.78464,0.69801,0.36484,1.54256,1.11402,0.84946,0.0011885,0.0011885,0.0011885
19,433.815,1.4511,0.83101,0.82765,0.57954,0.74445,0.67166,0.35772,1.60032,1.17606,0.85062,0.00117435,0.00117435,0.00117435
20,445.314,1.44657,0.8371,0.83618,0.67404,0.68836,0.70073,0.38127,1.534,1.08642,0.8465,0.00116021,0.00116021,0.00116021
21,456.875,1.44972,0.82643,0.82869,0.64339,0.67951,0.64473,0.36196,1.46978,1.15151,0.84445,0.00114606,0.00114606,0.00114606
22,468.324,1.41392,0.8075,0.83263,0.58706,0.73709,0.6572,0.35537,1.58259,1.14472,0.85828,0.00113191,0.00113191,0.00113191
23,479.848,1.42021,0.78693,0.83442,0.61934,0.68805,0.65882,0.37344,1.53576,1.19782,0.85223,0.00111776,0.00111776,0.00111776
24,491.247,1.46553,0.78779,0.8234,0.6328,0.69837,0.65921,0.36697,1.53884,1.1539,0.85577,0.00110362,0.00110362,0.00110362
25,502.675,1.37675,0.81061,0.82593,0.65519,0.65238,0.64828,0.37822,1.47271,1.08223,0.8478,0.00108947,0.00108947,0.00108947
26,514.142,1.37314,0.79093,0.83164,0.65452,0.68959,0.66394,0.36508,1.46896,1.13934,0.84125,0.00107532,0.00107532,0.00107532
27,525.751,1.35363,0.78171,0.8306,0.6124,0.62846,0.62734,0.37757,1.45224,1.14001,0.83941,0.00106118,0.00106118,0.00106118
28,537.178,1.37728,0.76484,0.83134,0.54604,0.78181,0.66177,0.37941,1.46525,1.11126,0.83829,0.00104703,0.00104703,0.00104703
29,548.571,1.3757,0.78172,0.82679,0.63652,0.66233,0.67375,0.37754,1.49753,1.15627,0.84459,0.00103288,0.00103288,0.00103288
30,560.118,1.39492,0.80504,0.82255,0.64782,0.64413,0.63259,0.37411,1.46616,1.14919,0.83978,0.00101873,0.00101873,0.00101873
31,571.482,1.38252,0.7755,0.82815,0.67377,0.68775,0.68398,0.37296,1.48805,1.1034,0.84481,0.00100459,0.00100459,0.00100459
32,582.845,1.35002,0.76762,0.82843,0.66686,0.66206,0.6685,0.36876,1.45292,1.14623,0.83986,0.00099044,0.00099044,0.00099044
33,594.43,1.35761,0.76414,0.82713,0.58423,0.68539,0.63613,0.34981,1.49503,1.16639,0.84585,0.000976293,0.000976293,0.000976293
34,605.849,1.34949,0.78178,0.81817,0.63656,0.63072,0.64715,0.3717,1.44813,1.18147,0.84438,0.000962146,0.000962146,0.000962146
35,617.332,1.34619,0.81462,0.82296,0.63909,0.67791,0.675,0.37828,1.45573,1.11495,0.84355,0.000947999,0.000947999,0.000947999
36,628.854,1.35784,0.81811,0.82973,0.65975,0.66259,0.66392,0.37664,1.45943,1.10227,0.84553,0.000933851,0.000933851,0.000933851
37,640.306,1.31777,0.7763,0.82765,0.595,0.72997,0.6805,0.38339,1.50627,1.12484,0.84677,0.000919704,0.000919704,0.000919704
