epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.7603,1.84479,5.55401,0.90298,0,0,0,0,1.59556,4.29246,0.84863,0.000468394,0.000468394,0.000468394
2,82.4077,1.63026,3.27203,0.87881,1,0.42931,0.97416,0.48873,1.60516,2.57294,0.86271,0.000935375,0.000935375,0.000935375
3,91.9042,1.55806,2.42816,0.85816,0.98091,0.98109,0.99455,0.5329,1.53991,1.0465,0.84762,0.00139292,0.00139292,0.00139292
4,101.363,1.54624,1.92125,0.86201,0.97675,0.98448,0.98777,0.59674,1.38769,0.72646,0.83713,0.00138656,0.00138656,0.00138656
5,111.038,1.46088,1.55145,0.85871,0.9807,0.98464,0.99004,0.51304,1.50974,0.7911,0.85668,0.00137241,0.00137241,0.00137241
6,120.335,1.42906,1.22106,0.85755,0.99399,0.99921,0.995,0.62459,1.33665,0.69737,0.83946,0.00135826,0.00135826,0.00135826
7,129.794,1.39317,0.993,0.84877,0.9909,0.99346,0.99385,0.64148,1.27143,0.59061,0.8251,0.00134412,0.00134412,0.00134412
8,139.349,1.408,0.92311,0.84955,0.9962,0.99639,0.995,0.63629,1.25999,0.63143,0.822,0.00132997,0.00132997,0.00132997
9,148.639,1.33904,0.81729,0.84577,0.96113,0.99068,0.99487,0.6297,1.27817,0.64294,0.82745,0.00131582,0.00131582,0.00131582
10,158.007,1.37095,0.80647,0.85052,0.99436,0.99415,0.995,0.62084,1.3231,0.63424,0.82838,0.00130168,0.00130168,0.00130168
11,167.324,1.34223,0.73071,0.8416,0.99601,1,0.995,0.68113,1.15868,0.52304,0.81608,0.00128753,0.00128753,0.00128753
12,176.821,1.30115,0.69443,0.83703,0.99787,0.99611,0.995,0.66921,1.14949,0.5262,0.81365,0.00127338,0.00127338,0.00127338
13,186.154,1.30288,0.68738,0.8505,0.96715,0.98942,0.98484,0.6108,1.40374,0.64742,0.83699,0.00125923,0.00125923,0.00125923
14,195.541,1.3096,0.65566,0.83914,0.98271,0.99346,0.99306,0.63484,1.30104,0.58293,0.82569,0.00124509,0.00124509,0.00124509
15,204.877,1.28914,0.64528,0.83598,0.99772,0.99929,0.995,0.62221,1.28698,0.54797,0.83126,0.00123094,0.00123094,0.00123094
16,214.204,1.2717,0.60298,0.8408,0.98875,0.99486,0.995,0.6676,1.19681,0.53016,0.81548,0.00121679,0.00121679,0.00121679
17,223.466,1.29354,0.6091,0.84202,0.97844,0.9741,0.99396,0.6768,1.16508,0.56141,0.81688,0.00120265,0.00120265,0.00120265
18,232.867,1.26276,0.6004,0.8293,0.98236,0.99281,0.98892,0.67833,1.12843,0.51536,0.80985,0.0011885,0.0011885,0.0011885
19,242.155,1.27668,0.58432,0.83235,0.98876,0.99395,0.995,0.65875,1.22955,0.52868,0.81938,0.00117435,0.00117435,0.00117435
20,251.438,1.24955,0.58765,0.83749,0.9933,0.99902,0.995,0.65955,1.2151,0.53845,0.81695,0.00116021,0.00116021,0.00116021
21,260.786,1.21872,0.57932,0.8362,0.99429,0.9986,0.995,0.65586,1.20351,0.51844,0.81245,0.00114606,0.00114606,0.00114606
22,270.117,1.27952,0.5631,0.83052,0.99458,0.99484,0.995,0.66398,1.26179,0.50688,0.82434,0.00113191,0.00113191,0.00113191
23,279.457,1.26056,0.55945,0.83903,0.99682,0.99453,0.995,0.70237,1.12196,0.47516,0.81206,0.00111776,0.00111776,0.00111776
24,288.99,1.23055,0.55888,0.83087,0.99566,1,0.995,0.66354,1.26344,0.51015,0.82391,0.00110362,0.00110362,0.00110362
25,298.249,1.23455,0.54888,0.83381,0.99747,0.99443,0.995,0.66584,1.1815,0.51632,0.81736,0.00108947,0.00108947,0.00108947
26,307.562,1.23567,0.54889,0.83681,0.99733,0.99529,0.995,0.69216,1.17301,0.50508,0.81464,0.00107532,0.00107532,0.00107532
27,316.823,1.20531,0.54957,0.82378,0.99729,1,0.995,0.67385,1.16518,0.51227,0.81193,0.00106118,0.00106118,0.00106118
28,326.21,1.22537,0.55532,0.82941,0.99606,1,0.995,0.64734,1.26751,0.52027,0.81798,0.00104703,0.00104703,0.00104703
29,335.528,1.21884,0.52416,0.83154,0.99797,1,0.995,0.67815,1.2065,0.49558,0.81696,0.00103288,0.00103288,0.00103288
30,344.783,1.22859,0.54097,0.83176,0.99664,1,0.995,0.62644,1.24517,0.53917,0.82114,0.00101873,0.00101873,0.00101873
31,354.085,1.21964,0.51353,0.83936,0.99569,1,0.995,0.69793,1.1339,0.466,0.8098,0.00100459,0.00100459,0.00100459
32,363.435,1.20542,0.51464,0.82689,0.99757,1,0.995,0.7016,1.1247,0.49968,0.80938,0.00099044,0.00099044,0.00099044
33,372.784,1.17415,0.50963,0.82785,0.99659,1,0.995,0.72066,1.08382,0.46284,0.8027,0.000976293,0.000976293,0.000976293
34,383.231,1.18631,0.53073,0.81857,0.99584,1,0.995,0.69628,1.13421,0.48396,0.80646,0.000962146,0.000962146,0.000962146
35,392.605,1.18344,0.51478,0.82074,0.98703,0.99407,0.995,0.64854,1.25443,0.50972,0.82348,0.000947999,0.000947999,0.000947999
36,401.932,1.19817,0.51334,0.82716,0.99808,1,0.995,0.7,1.1771,0.48205,0.8132,0.000933851,0.000933851,0.000933851
37,411.327,1.17535,0.48375,0.8239,0.98904,0.99403,0.99398,0.67938,1.21457,0.50682,0.81647,0.000919704,0.000919704,0.000919704
38,420.655,1.19899,0.51118,0.82434,0.997,1,0.995,0.69747,1.17302,0.50293,0.811,0.000905557,0.000905557,0.000905557
