epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,430.035,1.17432,0.49757,0.82394,0.99759,1,0.995,0.70298,1.10126,0.4579,0.80567,0.00089141,0.00089141,0.00089141
40,439.356,1.15882,0.48779,0.82285,0.9971,1,0.995,0.71103,1.13579,0.4641,0.80827,0.000877263,0.000877263,0.000877263
41,448.676,1.14678,0.4813,0.82362,0.99777,1,0.995,0.67888,1.11498,0.46512,0.80651,0.000863116,0.000863116,0.000863116
42,457.974,1.14616,0.49694,0.81892,0.9933,0.99415,0.995,0.70168,1.11134,0.4793,0.80602,0.000848969,0.000848969,0.000848969
43,467.263,1.16486,0.49429,0.82193,0.99776,1,0.995,0.67007,1.20087,0.48906,0.8164,0.000834822,0.000834822,0.000834822
44,476.585,1.16499,0.50466,0.82725,0.9886,0.99536,0.995,0.70866,1.08233,0.47342,0.80452,0.000820675,0.000820675,0.000820675
45,485.858,1.10182,0.4797,0.81533,0.9958,0.99908,0.995,0.66908,1.22477,0.48209,0.81897,0.000806528,0.000806528,0.000806528
46,495.15,1.14271,0.48057,0.81438,0.99713,1,0.995,0.69583,1.1249,0.47065,0.80456,0.00079238,0.00079238,0.00079238
47,504.49,1.11549,0.48826,0.81013,0.99279,1,0.995,0.71193,1.09131,0.46513,0.80263,0.000778233,0.000778233,0.000778233
48,513.839,1.12866,0.48084,0.82059,0.99532,0.999,0.995,0.7151,1.07979,0.45786,0.80224,0.000764086,0.000764086,0.000764086
49,523.152,1.15127,0.49377,0.81852,0.99665,1,0.995,0.71593,1.09441,0.45158,0.80397,0.000749939,0.000749939,0.000749939
50,532.44,1.12279,0.47131,0.82406,0.99708,1,0.995,0.69629,1.12166,0.45661,0.8035,0.000735792,0.000735792,0.000735792
51,541.741,1.14971,0.48178,0.82416,0.99771,1,0.995,0.65974,1.24321,0.47711,0.81647,0.000721645,0.000721645,0.000721645
52,551.057,1.12124,0.46545,0.82269,0.99776,1,0.995,0.70112,1.13017,0.45221,0.80603,0.000707498,0.000707498,0.000707498
53,560.378,1.10458,0.47357,0.8157,0.99504,0.99924,0.995,0.69151,1.14627,0.45396,0.80871,0.000693351,0.000693351,0.000693351
54,569.71,1.07905,0.46092,0.8171,0.99677,1,0.995,0.70901,1.11817,0.45475,0.8064,0.000679204,0.000679204,0.000679204
55,579.016,1.13856,0.47373,0.82277,0.9858,0.99346,0.99441,0.71471,1.04924,0.44782,0.79968,0.000665057,0.000665057,0.000665057
56,588.365,1.12783,0.47292,0.81449,0.98957,0.99375,0.995,0.71732,1.11849,0.44648,0.80593,0.000650909,0.000650909,0.000650909
57,597.706,1.11362,0.46092,0.81268,0.99638,1,0.995,0.70793,1.11111,0.44386,0.80449,0.000636762,0.000636762,0.000636762
58,607.061,1.11569,0.46285,0.81764,0.99787,1,0.995,0.70282,1.12154,0.45084,0.80771,0.000622615,0.000622615,0.000622615
59,616.396,1.12213,0.46951,0.81978,0.9967,1,0.995,0.69907,1.10621,0.45269,0.80435,0.000608468,0.000608468,0.000608468
60,625.722,1.08953,0.46159,0.81104,0.98882,0.9946,0.995,0.71809,1.05368,0.4364,0.80088,0.000594321,0.000594321,0.000594321
61,635.03,1.10147,0.46993,0.8131,0.98907,0.99445,0.995,0.72146,1.06671,0.4653,0.80059,0.000580174,0.000580174,0.000580174
62,644.496,1.09511,0.44767,0.82509,0.9931,1,0.995,0.70577,1.08305,0.43991,0.80552,0.000566027,0.000566027,0.000566027
63,653.83,1.09318,0.44612,0.80971,0.99705,0.99897,0.995,0.72312,1.0604,0.43805,0.80155,0.00055188,0.00055188,0.00055188
64,663.256,1.08441,0.45153,0.81393,0.99638,0.99465,0.995,0.71046,1.0819,0.43684,0.80314,0.000537733,0.000537733,0.000537733
65,672.59,1.09601,0.45095,0.81361,0.99612,1,0.995,0.71369,1.09296,0.43162,0.80476,0.000523586,0.000523586,0.000523586
66,681.891,1.06095,0.44618,0.81613,0.99787,1,0.995,0.7095,1.08983,0.44147,0.80369,0.000509438,0.000509438,0.000509438
67,691.224,1.07263,0.44621,0.81267,0.99827,1,0.995,0.73368,1.06781,0.44293,0.80283,0.000495291,0.000495291,0.000495291
68,700.65,1.09909,0.45507,0.81601,0.99562,1,0.995,0.73755,1.02095,0.43013,0.79994,0.000481144,0.000481144,0.000481144
69,710.06,1.07663,0.44064,0.81397,0.99612,0.9967,0.995,0.70598,1.13188,0.44271,0.80915,0.000466997,0.000466997,0.000466997
70,719.378,1.09428,0.45315,0.81405,0.99735,1,0.995,0.72233,1.06027,0.43832,0.80207,0.00045285,0.00045285,0.00045285
71,728.712,1.03518,0.45179,0.80751,0.99723,1,0.995,0.72082,1.06279,0.43906,0.80324,0.000438703,0.000438703,0.000438703
72,738.12,1.05634,0.44587,0.81245,0.99683,0.99405,0.995,0.70448,1.10825,0.43997,0.80489,0.000424556,0.000424556,0.000424556
73,747.451,1.06704,0.44093,0.80813,0.99682,1,0.995,0.72224,1.05424,0.43221,0.80085,0.000410409,0.000410409,0.000410409
74,756.78,1.0532,0.43136,0.81242,0.99555,0.99916,0.995,0.71609,1.0655,0.43237,0.8014,0.000396262,0.000396262,0.000396262
75,766.186,1.0672,0.44191,0.80629,0.99628,0.9993,0.995,0.72207,1.08911,0.43075,0.80125,0.000382115,0.000382115,0.000382115
76,775.598,1.04985,0.43092,0.81259,0.99793,0.99431,0.995,0.71768,1.07446,0.43118,0.80039,0.000367967,0.000367967,0.000367967
77,785.031,1.06792,0.44248,0.81581,0.99389,0.9985,0.995,0.72853,1.01946,0.41964,0.79877,0.00035382,0.00035382,0.00035382
78,794.455,1.05759,0.42784,0.81184,0.99802,0.99433,0.995,0.70298,1.07226,0.42903,0.80335,0.000339673,0.000339673,0.000339673
79,803.745,1.03838,0.42865,0.81386,0.99605,0.99454,0.995,0.72101,1.07018,0.45493,0.80354,0.000325526,0.000325526,0.000325526
80,813.067,1.06336,0.46147,0.81123,0.99672,0.99451,0.995,0.71622,1.06485,0.45674,0.80273,0.000311379,0.000311379,0.000311379
81,822.357,1.05526,0.44914,0.81788,0.99594,0.99935,0.995,0.70322,1.09891,0.47018,0.80858,0.000297232,0.000297232,0.000297232
82,832.148,1.05588,0.45263,0.81954,0.9979,1,0.995,0.70239,1.08728,0.47867,0.80817,0.000283085,0.000283085,0.000283085
83,841.429,1.07904,0.45235,0.82006,0.99632,0.99961,0.995,0.69732,1.12367,0.47084,0.80787,0.000268938,0.000268938,0.000268938
84,850.695,1.05527,0.45811,0.81478,0.99607,0.99884,0.995,0.72508,1.06094,0.46218,0.80623,0.000254791,0.000254791,0.000254791
85,860.003,1.06314,0.46308,0.81634,0.99796,1,0.995,0.71572,1.04912,0.46172,0.8055,0.000240644,0.000240644,0.000240644
86,869.307,1.03761,0.4502,0.81172,0.99667,1,0.995,0.71117,1.08159,0.45432,0.80667,0.000226497,0.000226497,0.000226497
87,878.626,1.04438,0.45458,0.8115,0.99753,1,0.995,0.71109,1.07265,0.45714,0.80596,0.000212349,0.000212349,0.000212349
88,887.941,1.0639,0.44813,0.81196,0.99809,1,0.995,0.72318,1.05958,0.44815,0.80582,0.000198202,0.000198202,0.000198202
89,897.253,1.03338,0.44205,0.81457,0.99483,0.99846,0.995,0.71854,1.06584,0.4577,0.80473,0.000184055,0.000184055,0.000184055
90,906.577,1.03177,0.45575,0.80953,0.99784,1,0.995,0.71894,1.06447,0.45181,0.80525,0.000169908,0.000169908,0.000169908
91,917.241,1.01896,0.45047,0.81302,0.99643,1,0.995,0.71084,1.1024,0.44739,0.81104,0.000155761,0.000155761,0.000155761
92,926.535,1.01839,0.44748,0.81882,0.99637,1,0.995,0.70827,1.08275,0.46185,0.80599,0.000141614,0.000141614,0.000141614
93,935.794,1.00582,0.44609,0.81633,0.99787,1,0.995,0.72696,1.08116,0.44726,0.80663,0.000127467,0.000127467,0.000127467
94,945.073,1.00642,0.44239,0.81007,0.9955,0.99932,0.995,0.71624,1.0855,0.45806,0.80762,0.00011332,0.00011332,0.00011332
95,954.335,1.01286,0.45063,0.81546,0.99683,0.99465,0.995,0.71282,1.08871,0.45311,0.80958,9.91726e-05,9.91726e-05,9.91726e-05
96,963.612,0.9857,0.44088,0.81645,0.99665,0.99381,0.995,0.71783,1.09107,0.45555,0.81014,8.50255e-05,8.50255e-05,8.50255e-05
97,972.901,1.00237,0.43472,0.81456,0.99665,0.99426,0.995,0.7184,1.07727,0.44891,0.80934,7.08784e-05,7.08784e-05,7.08784e-05
98,982.19,0.99319,0.43554,0.81201,0.99501,0.99398,0.995,0.70933,1.10534,0.45209,0.81155,5.67313e-05,5.67313e-05,5.67313e-05
99,991.486,0.98117,0.42801,0.82049,0.99622,0.99415,0.995,0.72643,1.0799,0.44972,0.80992,4.25842e-05,4.25842e-05,4.25842e-05
100,1000.83,0.97163,0.42129,0.80635,0.99675,0.99409,0.995,0.71061,1.07798,0.43897,0.81122,2.84371e-05,2.84371e-05,2.84371e-05
